lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Georgeś,Georgeś,NOUN,4,masculine,singular,,,,,"und Georgeś Kartons, sie sah in jeden hinein und warf dabei seitliche Blicke auf","und {{c1::Georgeś}} Kartons, sie sah in jeden hinein und warf dabei seitliche Blicke auf",06_harry_potter_und_der_halbblutprinz
Gepäcknetz,Gepäcknetz,NOUN,4,neuter,singular,Gepäcknetze,Gepäcknetzen,,,und zog sich ins Gepäcknetz hoch.,und zog sich ins {{c1::Gepäcknetz}} hoch.,06_harry_potter_und_der_halbblutprinz
Inferius,Inferius,NOUN,4,masculine,singular,,,,,"""Ist dann ein Inferius gesehen worden""?","""Ist dann ein {{c1::Inferius}} gesehen worden""?",06_harry_potter_und_der_halbblutprinz
Sicherheitssensor,Sicherheitssensoren,NOUN,4,masculine,plural,Sicherheitssensoren,,Sicherheitssensoren (3),,"durchsuchte uns überall mit Sicherheitssensoren, als wir in die Eingangshalle","durchsuchte uns überall mit {{c1::Sicherheitssensoren}}, als wir in die Eingangshalle",06_harry_potter_und_der_halbblutprinz
Trankmeister,Trankmeister,NOUN,4,masculine,singular,,,,,"Da Harry nun Slughorn nicht mehr fragte, kehrte der Trankmeister zu seiner","Da Harry nun Slughorn nicht mehr fragte, kehrte der {{c1::Trankmeister}} zu seiner",06_harry_potter_und_der_halbblutprinz
amüsiert,amüsiert,ADV,4,,,,,,,"Noch immer höchst amüsiert streute Fudge ein wenig Pulver in die Kaminöffnung,","Noch immer höchst {{c1::amüsiert}} streute Fudge ein wenig Pulver in die Kaminöffnung,",06_harry_potter_und_der_halbblutprinz
beobachtend,beobachtend,ADV,4,,,,,,,wütend beobachtend.,wütend {{c1::beobachtend}}.,06_harry_potter_und_der_halbblutprinz
ergreifend,ergreifend,ADV,4,,,,,,,"lag auf dem Boden, seine Nase ergreifend,","lag auf dem Boden, seine Nase {{c1::ergreifend}},",06_harry_potter_und_der_halbblutprinz
rundweg,rundweg,ADV,4,,,,,,,"Harry, der keinen Ausweg sah ohne rundweg zu lügen, nickte aber sagte nichts.","Harry, der keinen Ausweg sah ohne {{c1::rundweg}} zu lügen, nickte aber sagte nichts.",06_harry_potter_und_der_halbblutprinz
schnaufend,schnaufend,ADV,4,,,,,,,""" Hast du vor mir jetzt zu sagen, was wir tun,?"" fragte Ron, leicht schnaufend.",""" Hast du vor mir jetzt zu sagen, was wir tun,?"" fragte Ron, leicht {{c1::schnaufend}}.",06_harry_potter_und_der_halbblutprinz
versuchsweise,versuchsweise,ADV,4,,,,,,,"""Sir"", sagte Harry versuchsweise, ""hat das, was sie mir sagen werden,","""Sir"", sagte Harry {{c1::versuchsweise}}, ""hat das, was sie mir sagen werden,",06_harry_potter_und_der_halbblutprinz
Blutverräter,Blutverräter,NOUN,3,masculine,singular,Blutverräter,,Blutverräter (2),,"""Ich würde einen dreckigen Blutverräter wie sie niemals berühren wie auch immer","""Ich würde einen dreckigen {{c1::Blutverräter}} wie sie niemals berühren wie auch immer",06_harry_potter_und_der_halbblutprinz
Dumbledoreś,Dumbledoreś,NOUN,3,masculine,singular,,,,,Es war nur der Schutz Dumbledoreś der mich vor,Es war nur der Schutz {{c1::Dumbledoreś}} der mich vor,06_harry_potter_und_der_halbblutprinz
Gaunt,Gaunts,NOUN,3,neuter,singular,Gaunts,,Gaunts (2),,"Aller drei Gaunts' schienen Ogden vergessen zu haben, der konfus und irritiert war","Aller drei {{c1::Gaunts}}' schienen Ogden vergessen zu haben, der konfus und irritiert war",06_harry_potter_und_der_halbblutprinz
Gemeinschaftraum,Gemeinschaftraum,NOUN,3,masculine,singular,,,,,"ihrem Gemeinschaftraum erschreckte oder beeindruckte, so erreichte kein Hinweis","ihrem {{c1::Gemeinschaftraum}} erschreckte oder beeindruckte, so erreichte kein Hinweis",06_harry_potter_und_der_halbblutprinz
Heimlichkeits-Sensor,Heimlichkeits-Sensor,NOUN,3,masculine,singular,,,,,noch länger als Normal da Filch jeden drei Mal mit seinem Heimlichkeits-Sensor,noch länger als Normal da Filch jeden drei Mal mit seinem {{c1::Heimlichkeits-Sensor}},06_harry_potter_und_der_halbblutprinz
Herumtreiber,Herumtreibers,NOUN,3,masculine,singular,Herumtreibern,Herumtreiber,,,des Herumtreibers,des {{c1::Herumtreibers}},06_harry_potter_und_der_halbblutprinz
Hippogreiff,Hippogreiff,NOUN,3,masculine,singular,,,,,"Der große graue Hippogreiff, war vor Hagrids Hütte","Der große graue {{c1::Hippogreiff}}, war vor Hagrids Hütte",06_harry_potter_und_der_halbblutprinz
Kommentator,Kommentator,NOUN,3,masculine,singular,Kommentatoren,,,,"Stimme, die störend anders war als die vom üblichen Kommentator.","Stimme, die störend anders war als die vom üblichen {{c1::Kommentator}}.",06_harry_potter_und_der_halbblutprinz
Krankenhausflügel,Krankenhausflügel,NOUN,3,masculine,singular,,,,,"der Krankenhausflügel war ruhig, die Vorhänge vor den Fenstern","der {{c1::Krankenhausflügel}} war ruhig, die Vorhänge vor den Fenstern",06_harry_potter_und_der_halbblutprinz
Morfin,Morfin,NOUN,3,feminine,singular,,,,,"""Aber ich zeigte es ihm, Vater""! gackerte Morfin.","""Aber ich zeigte es ihm, Vater""! gackerte {{c1::Morfin}}.",06_harry_potter_und_der_halbblutprinz
Phantombrille,Phantombrille,NOUN,3,feminine,singular,,,,,"große Buchstaben auf der Titelseite kündigten an, dass eine Gratis Phantombrille","große Buchstaben auf der Titelseite kündigten an, dass eine Gratis {{c1::Phantombrille}}",06_harry_potter_und_der_halbblutprinz
Schokoladenkessel,Schokoladenkessel,NOUN,3,feminine,singular,,,,,"Ron schaute nachdenklich auf den Kasten großer Schokoladenkessel, dann","Ron schaute nachdenklich auf den Kasten großer {{c1::Schokoladenkessel}}, dann",06_harry_potter_und_der_halbblutprinz
Seewasser,Seewasser,NOUN,3,neuter,singular,,,,,"von warmem Gras, Seewasser und Holzrauch aus Hagrids Hütte.","von warmem Gras, {{c1::Seewasser}} und Holzrauch aus Hagrids Hütte.",06_harry_potter_und_der_halbblutprinz
Sherryflasche,Sherryflaschen,NOUN,3,,plural,Sherryflaschen,,Sherryflaschen (3),,"ihr Kopf mit mehreren Kopftüchern bedeckt, einige zerbrochene Sherryflaschen","ihr Kopf mit mehreren Kopftüchern bedeckt, einige zerbrochene {{c1::Sherryflaschen}}",06_harry_potter_und_der_halbblutprinz
Slughorn,Slughorn,NOUN,3,neuter,singular,Slughorns,,Slughorns (2),,Harry war sich sicher gewesen das Slughorn einer der Sorte Zauberer ist die es,Harry war sich sicher gewesen das {{c1::Slughorn}} einer der Sorte Zauberer ist die es,06_harry_potter_und_der_halbblutprinz
Tagtraum,Tagtraum,NOUN,3,masculine,singular,Tagträume,Tagträumen,,,"""Patentierte Tagtraum Zauber""","""Patentierte {{c1::Tagtraum}} Zauber""",06_harry_potter_und_der_halbblutprinz
Trankstunde,Trankstunde,NOUN,3,feminine,singular,Trankstunden,,Trankstunden (1),,Hatte Snape das nicht in ihrer ersten Trankstunde,Hatte Snape das nicht in ihrer ersten {{c1::Trankstunde}},06_harry_potter_und_der_halbblutprinz
Vorladung,Vorladung,NOUN,3,feminine,singular,Vorladungen,,,,"""Es ist eine Vorladung in das Ministerium für eine Anhör -""","""Es ist eine {{c1::Vorladung}} in das Ministerium für eine Anhör -""",06_harry_potter_und_der_halbblutprinz
Wortlose,Wortlose,NOUN,3,feminine,singular,Wortlosen,,Wortlosen (1),,alles über Wortlose,alles über {{c1::Wortlose}},06_harry_potter_und_der_halbblutprinz
abhängig,abhängig,ADV,3,,,,,,,"""Zweifellos arbeiten sie, bis vierundzwanzig Stunden lang hintereinander, abhängig","""Zweifellos arbeiten sie, bis vierundzwanzig Stunden lang hintereinander, {{c1::abhängig}}",06_harry_potter_und_der_halbblutprinz
abschließend,abschließend,ADV,3,,,,,,,"auf dem Laufenden halten Premierminister -- oder, abschließend, ich bin zu","auf dem Laufenden halten Premierminister -- oder, {{c1::abschließend}}, ich bin zu",06_harry_potter_und_der_halbblutprinz
ausstreckend,ausstreckend,ADV,3,,,,,,,"""Toll das Dad sie wieder nutzen darf"", sagte Ron anerkennend, sich ausstreckend","""Toll das Dad sie wieder nutzen darf"", sagte Ron anerkennend, sich {{c1::ausstreckend}}",06_harry_potter_und_der_halbblutprinz
betrachtend,betrachtend,ADV,3,,,,,,,"Premierminister nach, den Neuankömmling betrachtend, der sich in seinem langen,","Premierminister nach, den Neuankömmling {{c1::betrachtend}}, der sich in seinem langen,",06_harry_potter_und_der_halbblutprinz
eingefrorenen,eingefrorenen,ADJ,3,,,,,,,den eingefrorenen Matsch hinauf stapften.,den {{c1::eingefrorenen}} Matsch hinauf stapften.,06_harry_potter_und_der_halbblutprinz
ekeln,ekelten,VERB,3,,,,,,,Neville: Gryffindor und Slytherin Schüler ekelten sich aus Prinzipvoreinander.,Neville: Gryffindor und Slytherin Schüler {{c1::ekelten}} sich aus Prinzipvoreinander.,06_harry_potter_und_der_halbblutprinz
entsprechend,entsprechend,ADV,3,,,,,,,"Violett war, doch entsprechend dem Buch in einen feinen Fliederfarbton hätte","Violett war, doch {{c1::entsprechend}} dem Buch in einen feinen Fliederfarbton hätte",06_harry_potter_und_der_halbblutprinz
erinnernd,erinnernd,ADV,3,,,,,,,"Sich daran erinnernd, was","Sich daran {{c1::erinnernd}}, was",06_harry_potter_und_der_halbblutprinz
erscheinend,erscheinend,ADV,3,,,,,,,"""..., und dem Reiz des Mädchens, ""sagte George, plötzlich erscheinend an ihrer","""..., und dem Reiz des Mädchens, ""sagte George, plötzlich {{c1::erscheinend}} an ihrer",06_harry_potter_und_der_halbblutprinz
erwartend,erwartend,ADV,3,,,,,,,"Azkaban zurück, erwartend dass er seine Tochter pflichtbewusst in der Erwartung","Azkaban zurück, {{c1::erwartend}} dass er seine Tochter pflichtbewusst in der Erwartung",06_harry_potter_und_der_halbblutprinz
genießend,genießend,ADV,3,,,,,,,"""Ich kann Hogwarts sehen"", Malfoy sagte, deutlich die Wirkung genießend, die er","""Ich kann Hogwarts sehen"", Malfoy sagte, deutlich die Wirkung {{c1::genießend}}, die er",06_harry_potter_und_der_halbblutprinz
intakt,intakt,ADV,3,,,,,,,grundsätzlich intakt und vollständig bleiben soll.,grundsätzlich {{c1::intakt}} und vollständig bleiben soll.,06_harry_potter_und_der_halbblutprinz
irgendetwas,irgendetwas,ADJ,3,,,,,,,"flehe euch an, solltet ihr irgendetwas Seltsames oder verdächtiges bemerken innen","flehe euch an, solltet ihr {{c1::irgendetwas}} Seltsames oder verdächtiges bemerken innen",06_harry_potter_und_der_halbblutprinz
konfrontieren,konfrontiert,VERB,3,,,,,,,den Werwölfen führte und den Schwierigkeiten mit denen er sich konfrontiert sah.,den Werwölfen führte und den Schwierigkeiten mit denen er sich {{c1::konfrontiert}} sah.,06_harry_potter_und_der_halbblutprinz
machend,machend,ADV,3,,,,,,,pompös und leiernd machend.,pompös und leiernd {{c1::machend}}.,06_harry_potter_und_der_halbblutprinz
maulenden,maulenden,ADJ,3,,,,,,,"oder Goyle, aber mit der maulenden Myrte","oder Goyle, aber mit der {{c1::maulenden}} Myrte",06_harry_potter_und_der_halbblutprinz
meckernd,meckernd,ADV,3,,,,,,,"Und er sauste durch die Gänge, lachte meckernd und sang weiter","Und er sauste durch die Gänge, lachte {{c1::meckernd}} und sang weiter",06_harry_potter_und_der_halbblutprinz
positiv,positiv,ADV,3,,,,,,,"""Nein!"" sagte Parvati, die bei jedem Klatsch positiv gespannt aussieht. ""","""Nein!"" sagte Parvati, die bei jedem Klatsch {{c1::positiv}} gespannt aussieht. """,06_harry_potter_und_der_halbblutprinz
schließend,schließend,ADV,3,,,,,,,die Tür geräuschlos hinter sich schließend.,die Tür geräuschlos hinter sich {{c1::schließend}}.,06_harry_potter_und_der_halbblutprinz
unbeschrieben,unbeschriebenen,ADJ,3,,,,,,,einen unbeschriebenen Stundenplan mit der Spitze,einen {{c1::unbeschriebenen}} Stundenplan mit der Spitze,06_harry_potter_und_der_halbblutprinz
unbeschädigt,unbeschädigt,ADV,3,,,,,,,unbeschädigt lassend.,{{c1::unbeschädigt}} lassend.,06_harry_potter_und_der_halbblutprinz
unbewusst,unbewusst,ADV,3,,,,,,,Harry hob unbewusst seine Hand an die Stirn und rieb seine blitzförmige Narbe.,Harry hob {{c1::unbewusst}} seine Hand an die Stirn und rieb seine blitzförmige Narbe.,06_harry_potter_und_der_halbblutprinz
ungehört,ungehört,ADV,3,,,,,,,jemandem außer gleichgestellten Slytherin ungehört haltend...,jemandem außer gleichgestellten Slytherin {{c1::ungehört}} haltend...,06_harry_potter_und_der_halbblutprinz
verständnisvoll,verständnisvoll,ADV,3,,,,,,,"""Ah"", sagte Dumbledore verständnisvoll, ""aber in der Zaubererwelt wird man","""Ah"", sagte Dumbledore {{c1::verständnisvoll}}, ""aber in der Zaubererwelt wird man",06_harry_potter_und_der_halbblutprinz
zurückkehrend,zurückkehrend,ADV,3,,,,,,,"""Nun dann"", , sagte Slughorn, vor die Klasse zurückkehrend und seinen","""Nun dann"", , sagte Slughorn, vor die Klasse {{c1::zurückkehrend}} und seinen",06_harry_potter_und_der_halbblutprinz
zusammendrücken,zusammengedrückt,VERB,3,,,,,,,wurde er fest zusammengedrückt;,wurde er fest {{c1::zusammengedrückt}};,06_harry_potter_und_der_halbblutprinz
überprüfend,überprüfend,ADV,3,,,,,,,Schachteln auf Ronś Arm überprüfend.,Schachteln auf Ronś Arm {{c1::überprüfend}}.,06_harry_potter_und_der_halbblutprinz
